Source,Perturbation Family,Individual Perturbation,Layer,Direction,RAFT,ChaosAPI,FlakeProbe,Language Agnostic,Implementation Mechanism,Flakiness Potential (Yes/Partial/No),Why Promising
Original,CPU,capacity throttle,Docker,low,Yes,No,No,Yes,'--cpus 0.1,Yes,Severe CPU starvation directly triggers timeout-based flakiness in tests with fixed time budgets.
Original,CPU,quota variation,Docker,"low, med, high",No,No,No,Yes,'--cpus <value>,Yes,Variable throttling levels reveal threshold-dependent flakiness invisible at a single fixed setting.
Original,CPU,period/ quota variation,Docker,bursty / constrained,No,No,No,Yes,'--cpu-period + --cpu-quota,Yes,"Bursty throttling mimics noisy CI runners, exposing tests that assume steady CPU availability."
Original,CPU,core pinning,Docker,Fixed / restricted cores,No,No,No,Yes,'--cpuset-cpus 0 or --cpuset-cpus 0-1,Yes,"Restricting to fixed/few cores reduces parallelism, surfacing races normally hidden by scheduling luck."
Original,CPU,Single-core execution,Docker,Low parallelism,No,No,No,Yes,'--cpuset-cpus 0 or --cpus 1,Yes,"Forces full serialization, unmasking races that depend on multi-core interleaving."
Original,CPU,Multi-core execution,Docker,High parallelism,No,No,No,Yes,"'--cpus 2, --cpus 4, etc.",Yes,"High parallelism is the flip side, surfacing races that only appear under heavy concurrent scheduling."
Original,CPU,CPU share reduction,Docker,Relative low priority,No,No,No,Partially,'--cpu-shares <low value> plus competing workload (stress -ng),Yes,"Directly reproduces ""noisy neighbor"" contention, one of the most common real CI flake causes."
Original,Memory,capacity throttling,Docker,"low, med, high",Yes,No,No,Yes,"'--memory 512m, 1g, etc",Yes,Tight memory limits trigger GC-pressure and OOM-timing flakiness.
Original,Memory,Soft memory reservation,Docker,Can be low,No,No,No,Yes,'--memory-reservation <size>,Partial,"Soft limits only bite under contention, so it's a weaker/less deterministic trigger than a hard cap."
Original,Memory,Swap disabled,Docker,Off,No,No,No,Yes,'--memory <size> --memory-swap <same size>,Yes,"Removes the swap safety net, surfacing ""true"" OOM failures masked by swap in other configs."
Original,Memory,Swap limited,Docker,Low/ slow memory path,No,No,No,Yes,'--memory <size> --memory-swap <larger size>,Yes,"Forces slow-swap thrashing, surfacing timeout flakiness distinct from outright OOM."
Original,Memory,Memory swappiness variation,Docker,Low / High,No,No,No,Yes,'--memory-swappiness 0 or --memory-swappiness 100,Yes,"Changes kernel reclaim aggressiveness, affecting timing-sensitive memory-bound tests."
Original,Memory,Shared memory,Docker,low,No,No,No,Yes,'--shm-size <small size>,Yes,"Many runtimes (data loaders, browser engines) crash/hang on undersized /dev/shm, a known real-world flake source."
Original,Memory,Background memory pressure,Docker,High,No,No,No,Yes,stress-ng --vm 1 --vm-bytes 80% as background process in wrapper script,Yes,"Realistic system-wide contention scenario, closest analog to real noisy CI hosts."
Original,Disk,Disk I/O operations throttling,Docker,Low,No,No,No,Yes,'--device-read-iops and --device-write-iops,Yes,"Slows file operations, exposing timeout assumptions in I/O-heavy test suites."
Original,Disk,Disk throughput throttling,Docker,Low,Yes,No,No,Yes,"'--device-read-bps, --device-write-bps",Yes,"Same mechanism as iops but for bulk transfer, surfaces large-file-handling timeouts."
Original,Disk,Block I/O weight reduction,,Low,No,No,No,Yes,'--blkio-weight <10-1000>,Partial,"Weight only matters under concurrent I/O contention, needs a competing workload to manifest."
Original,Disk,Read-only filesystem,Docker,Off,No,No,No,Yes,'--read-only --tmpfs /tmp,Yes,"Surfaces unhandled write-permission errors, a common and realistic misconfiguration bug class."
Original,Disk,Low disk space,,Low,No,No,No,Yes,'--storage-opt size <small size> or small mounted volume/tmpfs,Yes,"""Disk full"" is a very common real-world CI flake cause, directly reproducible here."
Original,Disk,Temp directory unavailable,,Off,No,No,No,Yes,'--env TMPDIR/TEMP/TMP /nonexistent,Yes,Many test frameworks silently assume a writable TMPDIR; this breaks that assumption cleanly.
Original,Disk,Permission denied on write path,,Deny writes,No,No,No,Yes,"'--mount type bind,readonly",Yes,Permission errors often look like nondeterministic/order-dependent flakiness in real suites.
Original,Disk,Disk latency injection,,High,No,No,No,Yes,dm-delay or tc netem,Yes,Surfaces timeout-sensitive I/O code paths distinct from throughput-only throttling.
